Stkcd,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Markettype,Trdsta,ChangeRatio,Cluster
000001,11.68,11.97,11.64,11.93,122.184253,1446.502669,4,1,2.9336,167
000002,14.05,14.64,14.01,14.52,118.094463,1700.929597,4,1,3.7143,80
000004,13.5,14.22,13.22,13.87,6.3989,87.410502,4,2,0.2168,124
000005,0.93,1.01,0.91,1.01,49.715511,47.76301702,4,2,5.2083,190
000006,4.62,4.78,4.59,4.75,20.678292,97.3038438,4,1,4.1667,272
000007,3.83,3.93,3.8,3.91,2.507137,9.7316333,4,3,0.5141,19
000008,2.41,2.43,2.38,2.39,23.830213,57.20849733,4,1,-0.8299,20
000009,11.94,12.22,11.93,12.09,24.526593,297.22538,4,1,1.2563,134
000010,2.22,2.29,2.21,2.27,11.7776,26.492581,4,1,1.7937,281
000011,9.43,9.7,9.43,9.64,3.364767,32.30008316,4,1,2.3355,176
000012,6.13,6.3,6.12,6.28,18.346684,114.256078,4,1,2.6144,1
000014,9.95,10.53,9.95,10.32,13.833532,141.6874551,4,1,4.3478,204
000016,4.86,5.2,4.82,5.08,44.748918,226.1783813,4,1,4.7423,57
000017,4.24,4.29,4.22,4.27,3.053133,13.00365761,4,1,0.7075,24
000019,7.45,7.53,7.45,7.52,2.880945,21.60378951,4,1,0.6693,7
000020,11.11,11.14,10.66,11.09,2.183349,24.07187598,4,1,0.7266,122
000021,22.22,22.45,21.63,21.92,93.972235,2063.467282,4,1,-1.3057,51
000023,6.13,6.36,6.13,6.32,1.0137,6.338944,4,2,2.7642,48
000025,16.92,17.24,16.92,17.2,3.8607,66.16228147,4,1,1.2956,39
000026,12.43,12.5,12.3,12.37,7.0825,87.846325,4,1,-0.4026,124
000027,6.86,6.91,6.78,6.82,16.252831,111.0922112,4,1,-0.1464,1
000028,42.99,43.19,41.98,42.1,4.132354,175.8300191,4,1,-1.4744,299
000029,11.53,11.96,11.39,11.7,6.485478,75.92342159,4,1,2.1834,262
000030,4.82,4.89,4.8,4.86,4.9849,24.209843,4,1,1.4614,155
000031,3.68,3.84,3.64,3.8,34.460689,129.5300696,4,1,3.8251,187
000032,35.48,35.71,34.45,34.84,39.943334,1399.510397,4,1,-1.107,142
000034,27.9,28.09,27.08,27.29,23.267877,636.5359472,4,1,-2.3963,33
000035,4.81,4.89,4.78,4.85,11.658204,56.63509102,4,1,1.0417,287
000036,3.8,3.86,3.75,3.85,11.857614,45.09517358,4,1,2.6667,195
000037,7.94,8.72,7.94,8.72,20.892986,177.5180701,4,1,9.9622,129
000039,6.89,6.93,6.88,6.91,6.33263,43.76662012,4,1,0.5822,89
000040,4.12,4.18,4.05,4.17,42.761317,176.8576359,4,1,0.7246,213
000042,7.49,7.8,7.44,7.72,5.69888,43.59426598,4,1,3.7634,89
000045,11.4,11.6,11.11,11.19,10.205596,114.7243288,4,1,0.0,55
000046,1.03,1.03,0.99,1.01,192.333436,195.8228772,4,3,3.0612,133
000048,19.75,20.05,19.49,19.92,3.656857,72.39467975,4,1,1.1681,39
000049,36.29,37.37,36.1,37.37,6.647844,245.4630722,4,1,3.6903,172
000050,9.62,9.71,9.6,9.64,5.467291,52.80015209,4,1,0.1038,59
000055,4.68,4.73,4.67,4.72,5.022011,23.62926731,4,1,1.0707,155
000056,3.62,3.73,3.58,3.71,18.7654,68.752192,4,1,4.2135,283
000058,6.21,6.37,6.2,6.37,6.206817,39.24766716,4,1,2.2472,252
000059,6.36,6.5,6.35,6.46,9.900583,63.78434784,4,1,1.8927,174
000060,4.75,4.82,4.74,4.82,22.743246,109.0258519,4,1,2.3355,1
000061,6.04,6.06,6.01,6.05,6.571142,39.68575768,4,1,0.1656,252
000062,11.79,11.96,11.72,11.94,4.796748,56.8104509,4,1,1.5306,113
000063,36.4,36.6,35.6,36.03,68.446177,2464.215327,4,1,0.0,51
000065,15.06,15.49,14.92,15.33,28.881658,439.7740269,4,1,1.255,91
000066,13.11,13.29,12.91,13.1,125.58997,1643.261044,4,1,0.6918,80
000068,3.22,3.27,3.22,3.26,4.947233,16.07359326,4,1,1.2422,182
000069,4.76,4.86,4.75,4.84,36.010236,173.2958867,4,1,1.8947,213
000070,8.75,9.3,8.75,9.08,113.720059,1032.085086,4,1,4.6083,208
000078,3.33,3.34,3.31,3.34,14.8959,49.5704095,4,1,0.3003,195
000088,4.94,5.02,4.94,4.99,7.46802,37.2688822,4,1,1.0121,102
000089,6.9,6.97,6.89,6.96,6.328163,43.99225714,4,1,1.1628,89
000090,5.05,5.17,5.05,5.17,12.863833,65.91957493,4,1,2.5794,283
000096,7.96,8.06,7.95,8.05,0.971298,7.80021896,4,1,0.4994,255
