Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
399300,2023-1-3,3864.836,3893.99,3831.245,3887.899,1150518.75,20754016.6,0.4201
399300,2023-1-4,3886.25,3905.903,3873.655,3892.948,1106607.43,19899771.17,0.1299
399300,2023-1-5,3913.493,3974.875,3912.26,3968.578,1165023.95,25631260.83,1.9427
399300,2023-1-6,3969.549,4000.414,3966.47,3980.889,1109530.38,23574430.56,0.3102
399300,2023-1-9,3998.528,4023.09,3990.707,4013.12,1170544.25,23321242.65,0.8096
399300,2023-1-10,4014.713,4030.457,4002.23,4017.474,1017511.41,21487116.62,0.1085
399300,2023-1-11,4019.884,4043.399,4008.015,4010.031,999978.89,20300026.3,-0.1853
399300,2023-1-12,4021.755,4030.288,4003.508,4017.869,905526.27,18368626.81,0.1955
399300,2023-1-13,4032.291,4074.377,4027.886,4074.377,958718.96,21217399.75,1.4064
399300,2023-1-16,4077.879,4177.104,4076.639,4137.964,1513954.55,31900774.94,1.5607
399300,2023-1-17,4138.843,4148.584,4118.157,4137.242,954790.4,20438157.65,-0.0174
399300,2023-1-18,4140.102,4151.458,4125.769,4130.314,842006.45,17212617.18,-0.1675
399300,2023-1-19,4125.577,4156.008,4105.98,4156.008,946083.98,19269958.98,0.6221
399300,2023-1-20,4166.844,4189.831,4161.67,4181.527,1235538.09,22234245.51,0.614
399300,2023-1-30,4267.625,4268.152,4197.86,4201.345,1646070.64,33019332.21,0.4739
399300,2023-1-31,4200.581,4212.735,4153.048,4156.858,1245508.35,24936532.16,-1.0589
399300,2023-2-1,4170.132,4195.933,4137.766,4195.933,1410089.54,26555394.47,0.94
399300,2023-2-2,4207.412,4207.412,4170.557,4181.149,1338237.36,26249743.48,-0.3523
399300,2023-2-3,4162.026,4162.026,4103.165,4141.632,1170412.21,22691477,-0.9451
399300,2023-2-6,4103.831,4105.945,4065.222,4086.878,1101927.17,22634511.4,-1.322
399300,2023-2-7,4098.312,4107.344,4077.962,4094.234,913600.72,18353735.16,0.18
399300,2023-2-8,4099.857,4111.475,4072.647,4076.141,847860.99,17059175.18,-0.4419
399300,2023-2-9,4067.563,4130.857,4064.749,4130.857,1022899.61,21172260.49,1.3423
399300,2023-2-10,4124.099,4125.289,4092.347,4106.31,967167.33,19534832.06,-0.5942
399300,2023-2-13,4098.88,4146.45,4092.273,4143.574,1288925.77,25199018.16,0.9075
399300,2023-2-14,4151.247,4152.049,4125.258,4145.29,1024998.9,20491543.57,0.0414
399300,2023-2-15,4146.855,4153.716,4115.967,4123.689,1216645.08,21985552.9,-0.5211
399300,2023-2-16,4125.409,4167.9,4068.859,4093.488,1593105.85,28131562.56,-0.7324
399300,2023-2-17,4086.224,4104.64,4032.929,4034.507,1161425.89,22573774.7,-1.4408
399300,2023-2-20,4039.962,4134.862,4035.476,4133.49,1617944.81,28012296.22,2.4534
399300,2023-2-21,4130.063,4151.799,4116.272,4144.354,1457761.73,24967420.1,0.2628
399300,2023-2-22,4118.967,4134.876,4101.86,4106.951,1042902.95,19158615.9,-0.9025
399300,2023-2-23,4106.214,4132.39,4088.207,4103.646,1035649.06,19719358.24,-0.0805
399300,2023-2-24,4100.99,4102.609,4048.237,4061.046,1009894.25,19121046.51,-1.0381
399300,2023-2-27,4040.457,4067.03,4034.524,4043.844,937876.3,18795949.11,-0.4236
399300,2023-2-28,4058.13,4074.264,4026.448,4069.459,1103235.91,19879971.24,0.6334
399300,2023-3-1,4068.733,4135.481,4061.217,4126.942,1560157.94,25537479.1,1.4125
399300,2023-3-2,4119.992,4137.253,4113.826,4117.738,1482176.37,23595376.5,-0.223
399300,2023-3-3,4126.018,4135.212,4100.383,4130.551,1603317.41,22691454.56,0.3112
399300,2023-3-6,4131.153,4132.837,4088.448,4109.01,1629718.07,28307986.2,-0.5215
399300,2023-3-7,4103.642,4124.961,4046.568,4048.852,1959120.68,27249199.4,-1.4641
399300,2023-3-8,4030.739,4037.287,4011.523,4034.108,1179364.93,19165965.52,-0.3642
399300,2023-3-9,4035.843,4043.849,4000.89,4019.851,1165396.29,20173799.07,-0.3534
399300,2023-3-10,3991.796,4004.361,3966.428,3967.135,1238554.09,21828695.61,-1.3114
399300,2023-3-13,3962.643,4008.686,3962.643,4008.686,1435613.7,24286551.68,1.0474
399300,2023-3-14,3999.88,4001.942,3946.941,3984.696,1505441.74,26722484.88,-0.5985
399300,2023-3-15,4011.844,4018.75,3986.902,3986.902,1420260.07,23210109.4,0.0554
399300,2023-3-16,3958.196,3981.321,3936.476,3939.151,1525156.44,24626428.64,-1.1977
399300,2023-3-17,3971.159,4004.215,3945.25,3958.819,1774338.18,30554101.56,0.4993
399300,2023-3-20,3962.663,3979.549,3935.016,3939.077,2052649.7,31976003.26,-0.4987
399300,2023-3-21,3948.157,3982.705,3948.157,3982.378,1450906.79,25163198.5,1.0993
399300,2023-3-22,3993.785,4016.45,3986.709,3999.443,1492289.7,26518099.21,0.4285
399300,2023-3-23,3985.993,4039.09,3983.999,4039.09,1588874.21,29647952.95,0.9913
399300,2023-3-24,4035.156,4037.842,4017.003,4027.046,1594423.3,29578558.89,-0.2982
399300,2023-3-27,4023.303,4023.303,3987.03,4012.477,1684822.79,31547469.69,-0.3618
399300,2023-3-28,4015.697,4023.783,3994.6,3999.515,1318951.17,24873692.1,-0.323
399300,2023-3-29,4013.593,4017.757,3992.666,4006.144,1337435.1,26386692.27,0.1657
399300,2023-3-30,4009.557,4040.502,3983.896,4038.526,1499010.37,28000471.6,0.8083
399300,2023-3-31,4045.454,4063.568,4039.959,4050.926,1388425.46,27986368.58,0.307
399300,2023-4-3,4059.623,4094.938,4059.061,4090.568,1821243.13,38289555.84,0.9786
399300,2023-4-4,4089.293,4103.158,4080.068,4103.105,1971466.31,39444317.51,0.3065
399300,2023-4-6,4084.132,4098.833,4078.405,4096.64,1507033.74,32898185.16,-0.1576
399300,2023-4-7,4096.901,4131.313,4092.185,4123.28,1286767.38,28656777.19,0.6503
399300,2023-4-10,4132.01,4132.295,4099.052,4104.812,1524530.02,34082255.72,-0.4479
399300,2023-4-11,4108.506,4116.125,4083.495,4100.148,1539013.33,32419295.2,-0.1136
399300,2023-4-12,4102.397,4108.245,4090.278,4097.288,1659652.78,32542522.64,-0.0698
399300,2023-4-13,4081.387,4088.881,4059.574,4068.979,1564442.95,30029102.08,-0.6909
399300,2023-4-14,4078.97,4098.215,4075.205,4091.999,1506956.82,30620150.14,0.5657
399300,2023-4-17,4090.072,4149.384,4089.509,4149.384,1887730.95,34183127.28,1.4024
399300,2023-4-18,4139.309,4169.668,4138.462,4162.032,1701841.3,33154566.23,0.3048
399300,2023-4-19,4159.394,4159.394,4118.626,4124.559,1625545.92,31221950.45,-0.9004
399300,2023-4-20,4122.946,4125.823,4094.002,4113.019,1627066.77,33217240.95,-0.2798
399300,2023-4-21,4114.264,4114.264,4031.912,4032.567,1808024.35,34785201.16,-1.956
399300,2023-4-24,4031.303,4033.637,3967.907,3982.643,1700992.17,32837561.47,-1.238
399300,2023-4-25,3985.106,3991.687,3925.436,3962.666,1725554.09,33111061.98,-0.5016
399300,2023-4-26,3950.255,3975.656,3934.663,3959.232,1627020.06,32206281.13,-0.0867
399300,2023-4-27,3948.031,3999.13,3942.815,3988.419,1538281.95,30480400.26,0.7372
399300,2023-4-28,3993.256,4030.447,3993.256,4029.086,1795084.88,32893629.4,1.0196
399300,2023-5-4,4013.471,4035.783,4001.126,4030.247,2275828.46,34549250.6,0.0288
399300,2023-5-5,4031.095,4047.602,3998.392,4016.877,2066269.24,30769448.99,-0.3317
399300,2023-5-8,4028.106,4070.772,4018.961,4062.662,2555830.85,35953995.42,1.1398
399300,2023-5-9,4065.439,4092.85,4026.389,4027.875,2793060.48,39642212.04,-0.8563
399300,2023-5-10,4017.936,4019.059,3984.629,3996.87,2075527.09,30948485.17,-0.7698
399300,2023-5-11,4005.782,4018.058,3988.482,3990.664,1448046.19,24105207.14,-0.1553
399300,2023-5-12,3987.769,3999.383,3937.527,3937.762,1444217.28,22899292.34,-1.3256
399300,2023-5-15,3938.83,3998.887,3923.032,3998.887,1762573.62,27953116.35,1.5523
399300,2023-5-16,4002.524,4005.015,3966.992,3978.205,1368332.71,23484065.27,-0.5172
399300,2023-5-17,3971.702,3982.604,3945.714,3960.165,1184481.85,20519568.6,-0.4535
399300,2023-5-18,3965.516,3982.718,3939.553,3956.07,1365339.47,22913418.44,-0.1034
399300,2023-5-19,3946.222,3967.282,3928.316,3944.54,1202124.79,20709494.48,-0.2915
399300,2023-5-22,3941.002,3985.403,3935.802,3969.328,1091166.05,20218555.02,0.6284
399300,2023-5-23,3968.235,3971.939,3913.188,3913.188,1186850.77,18995581.53,-1.4143
399300,2023-5-24,3903.782,3903.782,3859.094,3859.094,1372582.65,21176841.05,-1.3824
399300,2023-5-25,3851.405,3861.382,3817.837,3850.5,1241507.7,21331362.01,-0.2227
399300,2023-5-26,3848.417,3859.629,3815.57,3850.951,1003264.39,19153781.49,0.0117
399300,2023-5-29,3862.084,3866.724,3819.182,3833.942,1318599.67,23009560.48,-0.4417
399300,2023-5-30,3827.792,3844.005,3789.274,3837.753,1376196.29,24456626.55,0.0994
399300,2023-5-31,3827.163,3827.163,3781.403,3798.543,1263873.68,23560612.39,-1.0217
399300,2023-6-1,3788.59,3832.205,3786.734,3806.868,1345618.81,24182954.64,0.2192
399300,2023-6-2,3821.62,3865.284,3821.62,3861.834,1250151.1,23269654.71,1.4439
