Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
16,2023-1-3,2628.672,2645.992,2603.723,2641.422,302301,5474696.61,0.2343
16,2023-1-4,2644.291,2659.535,2637.716,2651.005,280655.21,5179384,0.3628
16,2023-1-5,2670.458,2705.739,2668.145,2700.308,277148.94,6575423.35,1.8598
16,2023-1-6,2704.238,2721.928,2698.909,2713.631,283672.59,6119029.36,0.4934
16,2023-1-9,2730.995,2747.611,2722.146,2742.201,296828.97,6135849.68,1.0528
16,2023-1-10,2742.697,2748.637,2731.824,2733.619,242129.15,5525139.27,-0.313
16,2023-1-11,2739.937,2760.097,2733.429,2740.193,247480.45,5474669.96,0.2405
16,2023-1-12,2749.694,2752.116,2732.825,2741.945,222579.03,4788807.92,0.0639
16,2023-1-13,2751.582,2787.356,2747.364,2787.356,246520.15,5644414.25,1.6562
16,2023-1-16,2789.871,2864.879,2787.953,2834.291,392765.84,9345191.3,1.6839
16,2023-1-17,2833.74,2837.592,2813.719,2827.027,249695.26,5839405.09,-0.2563
16,2023-1-18,2829.786,2838.831,2807.546,2810.086,205624.68,4697655.88,-0.5993
16,2023-1-19,2807.562,2823.114,2786.081,2820.807,239366.52,5607079.55,0.3815
16,2023-1-20,2831.682,2847.313,2822.69,2836.807,344105.46,6432725.29,0.5672
16,2023-1-30,2895.355,2895.355,2835.653,2839.122,420265.18,9162815.1,0.0816
16,2023-1-31,2842.518,2853.899,2804.979,2807.952,300329,6718303.45,-1.0979
16,2023-2-1,2819.18,2820.874,2780.887,2820.874,375559.87,7198831.57,0.4602
16,2023-2-2,2828.531,2828.531,2798.352,2811.847,340644.75,7079409.27,-0.32
16,2023-2-3,2795.109,2795.109,2753.058,2774.801,310074.6,6541306.74,-1.3175
16,2023-2-6,2744.7,2744.7,2716.728,2735.005,263043,5965475.77,-1.4342
16,2023-2-7,2744.696,2752.786,2730.829,2740.445,207082.1,4279086.32,0.1989
16,2023-2-8,2744.49,2758.038,2727.773,2731.252,201152.61,3802848.75,-0.3355
16,2023-2-9,2725.202,2765.624,2723.561,2761.872,198250.81,4879146.83,1.1211
16,2023-2-10,2757.53,2757.53,2738.612,2746.723,185101.67,4074762.63,-0.5485
16,2023-2-13,2739.717,2772.045,2733.208,2767.793,301043.64,6398946.9,0.7671
16,2023-2-14,2770.244,2776.982,2760.592,2776.982,222948.4,4953153.39,0.332
16,2023-2-15,2776.014,2780.593,2746.281,2752.339,239190.67,4861352.73,-0.8874
16,2023-2-16,2754.951,2787.156,2725.839,2742.804,325939.74,6422569.3,-0.3464
16,2023-2-17,2737.011,2759.525,2712.502,2714.289,270140.83,5287377.04,-1.0396
16,2023-2-20,2720.047,2790.981,2717.501,2788.396,385456.66,7056725.88,2.7303
16,2023-2-21,2785.994,2805.715,2779.177,2802.136,355872.26,6380060.89,0.4928
16,2023-2-22,2786.719,2795.245,2766.359,2769.344,213101.23,4534405.48,-1.1703
16,2023-2-23,2770.715,2790.886,2757.486,2767.535,231209.61,4946396.68,-0.0653
16,2023-2-24,2762.79,2764.648,2722.179,2727.59,250620.85,4960820.2,-1.4433
16,2023-2-27,2713.425,2738.12,2712.788,2723.584,222882.76,4492577.93,-0.1469
16,2023-2-28,2730.519,2740.224,2703.262,2737.155,241708.96,4560151.04,0.4983
16,2023-3-1,2736.05,2783.323,2729.804,2773.649,358939.52,5985989.89,1.3333
16,2023-3-2,2766.078,2782.791,2762.114,2769.108,337477.52,5281703.77,-0.1637
16,2023-3-3,2778.893,2784.125,2757.686,2774.508,404289.92,5330863.08,0.195
16,2023-3-6,2773.272,2774.003,2734.961,2744.141,383016.75,6723892.29,-1.0945
16,2023-3-7,2741.791,2761.352,2711.25,2713.168,551461.11,7344373.08,-1.1287
16,2023-3-8,2698.59,2699.876,2679.17,2691.933,295393.08,4768868.51,-0.7827
16,2023-3-9,2694.153,2697.25,2660.619,2671.843,272512.14,4706304.15,-0.7463
16,2023-3-10,2648.807,2667.96,2636.013,2636.389,287786.92,4751970.32,-1.3269
16,2023-3-13,2637.821,2672.007,2637.714,2664.038,341643.29,5375712.08,1.0487
16,2023-3-14,2658.281,2658.281,2627,2645.114,330422.66,5483222.95,-0.7104
16,2023-3-15,2666.944,2674.084,2647.96,2648.385,333459.26,4984153.11,0.1237
16,2023-3-16,2627.038,2647.532,2621.724,2622.823,394785.16,5737120.51,-0.9652
16,2023-3-17,2644.953,2672.29,2620.433,2628.591,437177.32,6865297.95,0.2199
16,2023-3-20,2632.248,2644.833,2614.277,2616.751,429160.78,6240625.79,-0.4504
16,2023-3-21,2623.578,2648.051,2622.847,2643.358,311616.9,5383417.18,1.0168
16,2023-3-22,2652.712,2666.696,2643.125,2651.534,261435.13,4817648.8,0.3093
16,2023-3-23,2641.818,2668.669,2641.071,2668.669,287671.82,5356326.62,0.6462
16,2023-3-24,2664.532,2664.532,2648.345,2653.285,307116.12,5350817.09,-0.5765
16,2023-3-27,2652.793,2652.793,2626.581,2639.623,340453.59,5645518.37,-0.5149
16,2023-3-28,2646.981,2653.565,2633.921,2638.738,272157.81,4761251.61,-0.0335
16,2023-3-29,2655.406,2658.133,2632.84,2636.223,268886.79,4743070.89,-0.0953
16,2023-3-30,2639.361,2665.343,2628.104,2664.212,336124.71,5917679.17,1.0617
16,2023-3-31,2670.948,2681.816,2657.765,2661.92,288888.59,5641443.17,-0.086
16,2023-4-3,2667.184,2673.662,2655.07,2665.723,352698.35,6817447.49,0.1429
16,2023-4-4,2668.402,2676.06,2657.857,2675.917,394973.43,7030130.15,0.3824
16,2023-4-6,2668.131,2672.724,2659.909,2666.448,296055.41,5847038.83,-0.3539
16,2023-4-7,2667.144,2692.509,2663.613,2684.862,241610.42,5577974.95,0.6906
16,2023-4-10,2690.43,2690.43,2671.516,2684.909,322664.3,6954060.3,0.0018
16,2023-4-11,2690.626,2694.316,2671.948,2680.044,341148.34,7019681.37,-0.1812
16,2023-4-12,2684.054,2684.444,2663.202,2665.77,349627.26,7100611.8,-0.5326
16,2023-4-13,2659.941,2675.001,2652.958,2670.014,360995.87,6985921.49,0.1592
16,2023-4-14,2679.131,2692.463,2668.814,2679.007,308963.38,6730412.4,0.3368
16,2023-4-17,2680.626,2732.974,2678.135,2732.974,453661.39,8484470.91,2.0144
16,2023-4-18,2724.493,2753.811,2722.614,2744.454,396159.55,7597908.25,0.4201
16,2023-4-19,2746.063,2746.063,2716.752,2720.718,329030.94,6216350.66,-0.8649
16,2023-4-20,2718.238,2721.195,2693.256,2704.858,358671.67,6578160.34,-0.5829
16,2023-4-21,2703.4,2703.4,2652.264,2654.211,373256.88,6915755.97,-1.8724
16,2023-4-24,2655.085,2656.673,2611.381,2618.478,374105.02,6702808.4,-1.3463
16,2023-4-25,2621.022,2629.729,2596.562,2619.233,395162.42,6713574.95,0.0288
16,2023-4-26,2614.959,2627.577,2605.181,2617.978,369613.48,6432982.04,-0.0479
16,2023-4-27,2618.457,2658.776,2612.922,2650.57,361748.26,7463814.79,1.2449
16,2023-4-28,2653.138,2683.47,2653.138,2677.757,405487.79,8233297.86,1.0257
16,2023-5-4,2663.452,2696.591,2654.228,2692.691,540559.29,8858348.17,0.5577
16,2023-5-5,2698.59,2706.327,2672.03,2685.173,467976.94,7542499.59,-0.2792
16,2023-5-8,2694.568,2727.733,2685.523,2720.323,638825.47,9465657.27,1.309
16,2023-5-9,2723.188,2751.438,2702.769,2703.937,688079.67,10485870.7,-0.6024
16,2023-5-10,2698.766,2706.204,2669.726,2673.906,545247.77,7688728.24,-1.1106
16,2023-5-11,2682.378,2688.69,2663.541,2666.062,329920.1,5421478.31,-0.2934
16,2023-5-12,2662.803,2668.882,2630.286,2630.948,349128.63,5672479.3,-1.3171
16,2023-5-15,2628.462,2677.26,2619.557,2677.037,445532.16,6715085.97,1.7518
16,2023-5-16,2681.395,2685.575,2661.954,2670.451,338799.98,5778475.7,-0.246
16,2023-5-17,2666.039,2673.021,2642.629,2649.356,262499.27,4781996.09,-0.7899
16,2023-5-18,2653.009,2665.279,2634.606,2644.218,319673.61,4879686.51,-0.1939
16,2023-5-19,2632.588,2649.691,2614.958,2633.386,298138.6,5120278.09,-0.4096
16,2023-5-22,2630.107,2669.226,2628.757,2658.789,280985.33,5519891.47,0.9647
16,2023-5-23,2657.921,2662.386,2617.54,2617.54,305139.62,5003709.69,-1.5514
16,2023-5-24,2615.565,2615.565,2576.826,2577.342,369124.34,5612242.31,-1.5357
16,2023-5-25,2567.448,2572.188,2544.271,2564.505,317720.49,5188647.34,-0.4981
16,2023-5-26,2562.548,2569.225,2536.264,2559.614,240486.16,4298169.14,-0.1907
16,2023-5-29,2565.592,2566.833,2536.996,2548.286,294398.21,5063825.35,-0.4426
16,2023-5-30,2546.167,2553.949,2508.29,2535.144,318740.37,5448569.65,-0.5157
16,2023-5-31,2524.785,2525.113,2485.856,2493.35,307548.58,5884450.22,-1.6486
16,2023-6-1,2487.761,2522.857,2487.761,2500.34,324902.21,5366916.89,0.2803
16,2023-6-2,2511.689,2547.094,2511.333,2543.576,304182.31,5446574.47,1.7292
