Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
399905,2023-1-3,5861.55,5964.819,5848.146,5955.897,995578.37,11927123.78,1.5591
399905,2023-1-4,5952.506,5970.576,5922.865,5952.454,971604.41,11435873.14,-0.0578
399905,2023-1-5,5959.438,6017.341,5950.09,6010.464,966299.79,11747998.12,0.9746
399905,2023-1-6,6004.173,6050.887,5998.835,6012.815,992448.77,12159639.98,0.0391
399905,2023-1-9,6028.399,6070.161,6023.639,6040.019,1006968.29,12492132.56,0.4524
399905,2023-1-10,6044.641,6053.585,6017.152,6048.297,963933.51,11396705.64,0.1371
399905,2023-1-11,6049.039,6070.448,6004.219,6014.157,944063.89,11287959.8,-0.5645
399905,2023-1-12,6022.561,6048.189,5995.911,6015.287,929001.24,10490299.7,0.0188
399905,2023-1-13,6030.93,6058.225,6015.218,6057.69,900250.2,10244987.26,0.7049
399905,2023-1-16,6068.912,6168.745,6068.14,6126.177,1296197.3,14652674.98,1.1306
399905,2023-1-17,6129.735,6138.174,6107.761,6132.639,959216.99,10918020.67,0.1055
399905,2023-1-18,6139.691,6168.374,6136.97,6151.456,945558.36,10305254.54,0.3068
399905,2023-1-19,6145.621,6204.326,6130.424,6204.326,997777.93,11447241.6,0.8595
399905,2023-1-20,6214.025,6253.269,6214.025,6251.434,1139045.42,12836219.07,0.7593
399905,2023-1-30,6331.876,6342.449,6279.451,6283.327,1465179.2,17369771.39,0.5102
399905,2023-1-31,6266.296,6303.912,6259.528,6289.15,1353020.93,14663040.4,0.0927
399905,2023-2-1,6300.5,6368.791,6293.492,6365.905,1524422.2,16644908.17,1.2204
399905,2023-2-2,6383.298,6402.264,6347.729,6370.141,1492928.11,16621311.39,0.0665
399905,2023-2-3,6354.714,6354.714,6267.438,6343.686,1215071.82,13871437.96,-0.4153
399905,2023-2-6,6314.6,6330.793,6274.543,6302.335,1084853.08,12765206.34,-0.6518
399905,2023-2-7,6309.221,6318.841,6273.595,6317.238,1096626.83,12507806.5,0.2365
399905,2023-2-8,6319.516,6323.849,6263.763,6268.276,1059948.95,11698626.99,-0.7751
399905,2023-2-9,6256.312,6354.803,6250.455,6354.562,1090311.19,12904425.42,1.3766
399905,2023-2-10,6348.999,6368.488,6296.548,6334.252,1201008.29,13499490.74,-0.3196
399905,2023-2-13,6333.219,6386.724,6331.369,6383.828,1315662.27,15137456.1,0.7827
399905,2023-2-14,6394.62,6408.551,6369.573,6397.215,1246743.89,14396711.9,0.2097
399905,2023-2-15,6398.874,6407.753,6365.311,6384.348,1159070.22,14347232.44,-0.2011
399905,2023-2-16,6384.215,6429.053,6244.479,6289.479,1683884.16,19079136.45,-1.486
399905,2023-2-17,6284.923,6308.568,6237.405,6237.405,1172109.85,14342244.82,-0.828
399905,2023-2-20,6248.256,6349.407,6227.349,6346.068,1403340.75,15728926.51,1.7421
399905,2023-2-21,6349.907,6396.742,6337.598,6383.425,1418247.14,15370579.58,0.5887
399905,2023-2-22,6352.028,6397.145,6344.986,6375.068,1090830.29,12834132,-0.1309
399905,2023-2-23,6377.293,6396.656,6328.644,6360.32,1160646.54,13599224.69,-0.2313
399905,2023-2-24,6367.631,6372.492,6308.221,6340.844,969572.81,11987792.56,-0.3062
399905,2023-2-27,6318.639,6349.091,6288.299,6307.206,1010827.38,12488749.02,-0.5305
399905,2023-2-28,6323.842,6357.535,6293.179,6357.535,966031.63,11909483.47,0.798
399905,2023-3-1,6356.504,6410.522,6340.005,6402.141,1239076.39,14432764.01,0.7016
399905,2023-3-2,6398.256,6410.231,6375.007,6382.232,1253492.97,14759710.28,-0.311
399905,2023-3-3,6384.064,6398.471,6346.959,6390.318,1232347.75,14027335.94,0.1267
